index,project,function,func,recovered_fields,used_fields,unused_fields
1,csurfer/gitsuggest,__populate_repositories_of_interest,F1,235,8,227
2,csurfer/gitsuggest,__get_repos_for_query,F2,94,3,91
3,donnemartin/gitsome,followers,F3,18,1,17
4,donnemartin/gitsome,following,F4,18,1,17
5,donnemartin/gitsome,issues_setup,F5,49,9,40
6,donnemartin/gitsome,pull_requests,F6,399,3,396
7,donnemartin/gitsome,repositories_setup,F7,93,9,84
8,donnemartin/gitsome,search_issues,F8,41,9,32
9,donnemartin/gitsome,search_repositories,F9,94,9,85
10,donnemartin/gitsome,starred,F10,93,9,84
11,donnemartin/gitsome,user,F11,124,16,108
12,guyzmo/git-repo,list,F12,93,12,81
13,guyzmo/git-repo,gist_list,F13,41,2,39
14,guyzmo/git-repo,request_list,F14,419,3,416
15,guyzmo/git-repo,get_parent_project_url,F15,113,2,111
16,guyzmo/git-repo,get_project_default_branch,F16,113,1,112
17,donnemartin/viz,get_user_info,F17,31,3,28
18,donnemartin/viz,search_repos,F18,94,5,89
19,vdaubry/github-awards,update_repo,F19,113,5,108
20,vdaubry/github-awards,update_user,F20,124,8,116
21,bibcure/arxivcheck,get_arxiv_info,F21,33,6,27
22,karpathy/arxiv-sanity-preserver,fetch_papers,F22,33,10,23
