Index,Paper,Query,REST_byte,GraphQL_byte,REST,GraphQL
1,P1,Q1,528587,3990,521.3,3.9
2,P1,Q2,40442558,875585,39884.2,863.5
3,P1,Q3,42240874,7903518,41657.7,7794.4
4,P2,Q4,27128,514,26.8,0.5
5,P3,Q5,5525816,1740,5449.5,1.7
6,P3,Q6,50355458,8121084,49660.2,8009.0
7,P3,Q7,98975995,9848284,97609.5,9712.3
8,P4,Q8,4691184,96181,4626.4,94.9
9,P5,Q9,124146,1243,122.4,1.2
10,P6,Q10,5445960,43920,5370.8,43.3
11,P6,Q11,408329835,78926,402692.1,77.8
12,P7,Q12,63033,1092,62.2,1.1
13,P7,Q13,14502507,208096,14302.3,205.2
14,P7,Q14,27462175,137457,27083.0,135.6
